Earmark Description,Location,Amount,Administering State Agency,State Agency Contact,Account Number,Earmark Language
"Granby To-Go, Inc.",Granby,40000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $40,000 shall be expended for Granby To-Go, Inc. to support their food and basic needs pantry"
Greater Boston Food Bank Inc. Food Security Network Infrastructure Investments,Statewide,17000000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $17,000,000 shall be expended for the Greater Boston Food Bank, Inc. for regional food security network infrastructure investments"
Greater Boston Stage Company COVID-19 Safety Upgrade,Stoneham,100000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further, that not less than $100,000 shall be expended to the Greater Boston Stage Company in the town of Stoneham for COVID-19 safety upgrades and other capital improvements"
Greater Lawrence Community Action Council Childcare Center,Lawrence,100000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $100,000 shall be expended for the Greater Lawrence Community Action Council, Inc. for costs associated with rebuilding its child care center"
Greater Lawrence Technical School for MTEL Training Program,Lawrence,40000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $40,000 be expended to the Greater Lawrence Technical School to establish a Massachusetts Tests for Educator Licensure preparatory program with an English to Speakers of other Languages component with the aim of diversifying the teacher workforce in the Merrimack Valley"
Greater Lowell Community Foundation for Community Projects,Lowell,55000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that $55,000 shall be expended to the Greater Lowell Community Foundation, Inc. in the city of Lowell for community projects"
Greater Lowell Community Foundation for Lowell Waterways Vitality Initiative,Lowell,150000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70021530,"provided further, that $150,000 shall be expended to the Greater Lowell Community Foundation, Inc. for the Lowell Waterways Vitality Initiative in the city of Lowell"
Greater Lynn Senior Services,Lynn,300000,DMH - Department Of Mental Health,stephen.cidlevich@mass.gov,50110101,"provided further, that not less than $300,000 shall be expended to Greater Lynn Senior Services, Inc. for its elder mobile mental health program"
Greater New Bedford Community Health Center,New Bedford,250000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $250,000 shall be expended to the Greater New Bedford Community Health Center for costs associated with the implementation of a new electronic health record system to meet the ongoing needs of providing primary care for vulnerable patients who have been disproportionately impacted by the COVID-19 pandemic"
Greater Roslindale Community Health Center,Boston,75000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, not less than $75,000 shall be expended for the Greater Roslindale Medical and Dental Center in the Roslindale section of the city of Boston"
Greenfield Homeless Prevention,Greenfield,25000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,15992058,"provided further, that not less than $25,000 shall be expended for Center for Human Development, Incorporated to support emergency non-congregate shelter and related re-housing needs for people experiencing homelessness in and around the area of the city of Greenfield"
"GreenRoots, Inc. in Chelsea",Chelsea,50000,DPH - Department Of Public Health,robert.w.oliver2@mass.gov,45130101,"provided further, that not less than $50,000 shall be expended to GreenRoots, Inc. in the city of Chelsea"
Groton Access Walkway,Groton,150000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70021530,"provided further, that $150,000 shall be expended to the town of Groton for a public access walkway to the Groton Hills Music Center"
Groton Route 119,Groton,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for the repaving of a section of Route 119 in Groton"
"Groundwork Lawrence, Inc. for Greening the Gateway Cities Program",Lawrence,200000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"providing further, that not less than $200,000 shall be expended for Groundwork Lawrence, Inc. for the purpose of expanding the implementation of the greening the gateway cities program in the cities of Lawrence and Methuen by planting additional trees"
Group Peer Support for Health Workers,Statewide,1000000,DMH - Department Of Mental Health,stephen.cidlevich@mass.gov,50110101,"provided further, that not less than $1,000,000 shall be expended to Group Peer Support for a partnership with the Betsy Lehman center for patient safety and medical error reduction to build an infrastructure of mental health resources and support for essential healthcare workers through online, trauma-informed, group mental health care"
Hadley Public Safety,Hadley,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended to the town of Hadley public safety departments"
Haitian Community Partners in Brockton,Brockton,100000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that $100,000 shall be expended for staffing at the Haitian Community Partners in the city of Brockton"
Hancock Elementary School,Hancock,250000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $250,000 shall be expended for a modular classroom pod and installation at the Hancock elementary school in the city of Brockton"
Hanover Water Division PFAS Mitigation,Hanover,50000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $50,000 shall be expended for the town of Hanover water division for perfluoroalkyl and polyfluoroalkyl substances mitigation"
Hanson Middle School Soccer Field,Hanson,200000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,70100013,"provided further, that not less than $200,000 shall be expended for improvements to the soccer field located at the Hanson middle school in the town of Hanson"
Harbor Health Elder Service Plan,Boston,75000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $75,000 shall be expended to Harbor Health Services Inc. for the Elder Service Plan in Mattapan"
Haverhill Public Schools Capital & Safety Improvements,Haverhill,250000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $250,000 shall be expended for Haverhill public schools for capital and safety improvements"
Haverhill Public Schools Electric Bus,Haverhill,200000,DOT - Massachusetts Department Of Transportation,jon.lenicheck@dot.state.ma.us,70100013,"provided further, than not less than $200,000 shall be expended for Haverhill public schools to purchase an electric school bus"
Haverhill Public-Private Partnership,Methuen,40000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $40,000 shall be expended to the Haverhill Public-Private Partnership in the city of Haverhill to support organizational needs and programming designed to ensure that every public school student in the city of Haverhill achieves a true living wage job"
